Wave
	"Status"	"early concept"
	"eez1"	"French Exclusive Economic Zone"
	"mrgid_eez2"	"5,682"
	"eez2"	"Italian Exclusive Economic Zone"
	"source1"	"Accord entre le Gouvernement de la République française et le Gouvernement de la République italienne relatif à la délimitation des mers territoriales et des zones sous juridiction nationale entre la France et l’Italie"
	"url1"	"http://www.marineregions.org/documents/accord_frontiere_maritime_franco_italien.pdf"
	"source2"	""
	"url2"	""
	"source3"	""
	"url3"	""
	"origin"	"Database"
	"doc_date"	"2015-03-21"
	"mrgid_jreg"	"0"
	"joint_reg"	""
	"length_km"	"855"
	"geometry"	"MULTILINESTRING ((838229.5812572 5432119.13659353, 838081.15526947 5430603.03236058, 839070.6618543 5427220.53460442, 839132.50601585 5425936.36672883, 847388.70158302 5410711.19945664, 849429.55891423 5399948.97905391, 854067.87103061 5376929.12273353, 872775.72990004 5330848.05071494, 899647.0180943 5330848.05071494, 941731.97003032 5350611.60243016, 972623.12872545 5382465.71668961, 1001813.57297791 5396620.35163424, 1065389.37105318 5353966.23694577, 1066873.63093042 5341488.01727736, 1070244.137735 5321955.40003857, 1064028.79949904 5305124.89442253, 1084901.20402278 5277407.88645355, 1089044.76284675 5255192.17365543, 1090807.32145098 5218323.82976882, 1091271.15266262 5211670.14706264, 1095229.17900193 5195578.35862951, 1099681.95863366 5185143.74228847, 1107814.46587773 5170596.15099864, 1119317.47992637 5153825.24927048, 1129150.7016131 5127708.07391164, 1137499.6634226 5117720.19681854, 1137499.6634226 5094345.32756628, 1081685.30762208 5076511.12568219, 1072068.54050078 5076511.12568219, 1051969.18799643 5072469.99476629, 1037126.589224 5062045.09950893, 1031931.67965365 5055499.24057756, 1016872.62631578 5059368.58345855, 981033.9346965 5050438.502567, 976828.53171097 5049286.83462301, 963995.86818897 5051466.89340984, 952523.77622111 5062045.09950893, 924477.44895736 5084515.91680256, 889102.58854972 5098726.36785193, 855954.11795795 5109439.39710036, 771474.99327816 5133431.96764644, 709043.3121916 5088479.51296716, 655640.8786916 5048299.79978965))"
	"id"	"1,895"
	"line_id"	"1,806"
	"line_name"	"France Straight Baseline"
	"line_type"	"Straight Baseline"
	"mrgid_sov1"	"17"
	"mrgid_ter1"	"17"
	"territory1"	"France"
	"sovereign1"	"France"
	"mrgid_ter2"	"0"
	"territory2"	""
	"mrgid_sov2"	"0"
	"sovereign2"	""
	"mrgid_eez1"	"5,677"
	"eez1"	"French Exclusive Economic Zone"
	"mrgid_eez2"	"0"
	"eez2"	""
	"source1"	"Décret n° 2015-958 du 31 juillet 2015 définissant les lignes de base à partir desquelles est mesurée la largeur de la mer territoriale française adjacente au territoire de la France métropolitaine et de la Corse"
	"url1"	"http://www.marineregions.org/documents/joe_20150805_0179_0001.pdf"
	"source2"	"France Straight Baselines"
	"url2"	"http://www.marineregions.org/documents/ls37.jpg"
	"source3"	""
	"url3"	""
	"origin"	"Database"
	"doc_date"	"2015-08-05"
	"mrgid_jreg"	"0"
	"joint_reg"	""
	"length_km"	"6"
	"geometry"	"MULTILINESTRING ((818167.33524979 5417080.47607, 824475.43972807 5421999.36617901))"
	"id"	"1,896"
	"line_id"	"1,807"
	"line_name"	"France Straight Baseline"
	"line_type"	"Straight Baseline"
	"mrgid_sov1"	"17"
	"mrgid_ter1"	"17"
	"territory1"	"France"
	"sovereign1"	"France"
	"mrgid_ter2"	"0"
	"territory2"	""
	"mrgid_sov2"	"0"
	"sovereign2"	""
	"mrgid_eez1"	"5,677"
	"eez1"	"French Exclusive Economic Zone"
	"mrgid_eez2"	"0"
	"eez2"	""
	"source1"	"Décret n° 2015-958 du 31 juillet 2015 définissant les lignes de base à partir desquelles est mesurée la largeur de la mer territoriale française adjacente au territoire de la France métropolitaine et de la Corse"
	"url1"	"http://www.marineregions.org/documents/joe_20150805_0179_0001.pdf"
	"source2"	"France Straight Baselines"
	"url2"	"http://www.marineregions.org/documents/ls37.jpg"
	"source3"	""
	"url3"	""
	"origin"	"Database"
	"doc_date"	"2015-08-05"
	"mrgid_jreg"	"0"
	"joint_reg"	""
	"length_km"	"3"
	"geometry"	"MULTILINESTRING ((828711.76479437 5426792.45878014, 833411.92107231 5426664.03990701))"

Bathymetry
	"Band 1"	"-130.316"

